X,Y,Z,Name,original_Indirizzo,Regione,lat,lon,formatted,housenumber,street,district,postcode,suburb,city,county,county_code,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,confidence_building_level,attribution,attribution_license,attribution_url,Indirizzo,Regione,code,level,license,name2,url
12.4702745,41.8827421,0,Via degli Orti di Trastevere,"Via Orti Di Trastevere  34, Roma",Lazio,41.8827421,12.4702745,"Via degli Orti di Trastevere, 34, 00153 Roma RM, Italia","34",Via degli Orti di Trastevere,,"00153",Gianicolense,Roma,Roma,RM,Lazio,LAZ,Italia,it,"45.0",1,9,"0.0",© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,"Via Orti Di Trastevere  34, Roma",Lazio,it,"0",Open Database License,Via degli Orti di Trastevere,https://www.openstreetmap.org/copyright
14.628794,38.068242,0,,"Via G.Mazzini 9, Sant'Agata Di Militello",Sicilia,38.068242,14.628794,"Via Giuseppe Mazzini, 9, 98076 Sant'agata ME, Italia","9",Via Giuseppe Mazzini,Comune di Sant'Agata di Militello,"98076",,Sant'agata,Messina,ME,Sicilia,SIC,Italia,it,"9.0",9,9,"9.0",© OpenAddresses contributors,BSD-3-Clause License,,"Via G.Mazzini 9, Sant'Agata Di Militello",Sicilia,it,"9",BSD-3-Clause License,,
13.1713433,38.0889639,0,,"C.Da Lesi Snc, Montelepre",Sicilia,38.0889639,13.1713433,"Montelepre, PA, Italia",,,,"90040",,Montelepre,Palermo,PA,Sicilia,SIC,Italia,it,"25.0",1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,"C.Da Lesi Snc, Montelepre",Sicilia,it,,Open Database License,,https://www.openstreetmap.org/copyright
12.4570339,45.4564103,0,Via Grisolera,"Via Grisolera 31, Ca'Savio",Veneto,45.4564103,12.4570339,"Via Grisolera, 31, 30013 Ca' Savio VE, Italia","31",Via Grisolera,,"30013",,Ca' Savio,Venezia,VE,Veneto,VEN,Italia,it,"45.0",,1,"0.0",© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,"Via Grisolera 31, Ca'Savio",Veneto,it,"0",Open Database License,Via Grisolera,https://www.openstreetmap.org/copyright
12.6729111,45.5762676,0,,"P.Zza Garibaldi 12, Eraclea",Veneto,45.5762676,12.6729111,"Eraclea, VE, Italia",,,,"30020",,Eraclea,Venezia,VE,Veneto,VEN,Italia,it,"25.0",1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,"P.Zza Garibaldi 12, Eraclea",Veneto,it,,Open Database License,,https://www.openstreetmap.org/copyright
12.642253,45.536752,0,,"Via Toscanini 12, Jesolo Citta'",Veneto,45.536752,12.642253,"Via Arturo Toscanini, 12, 30016 Iesolo VE, Italia","12",Via Arturo Toscanini,Jesolo,"30016",,Iesolo,Venezia,VE,Veneto,VEN,Italia,it,"9.0",1,1,"1.0",© OpenAddresses contributors,BSD-3-Clause License,,"Via Toscanini 12, Jesolo Citta'",Veneto,it,"1",BSD-3-Clause License,,
12.6435344,45.510467,0,Via Mameli,"Via Mameli 32/34, Lido Di Jesolo",Veneto,45.510467,12.6435344,"Via Mameli, 30016 Jesolo VE, Italia",,Via Mameli,,"30016",,Jesolo,Venezia,VE,Veneto,VEN,Italia,it,"5.0",1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,"Via Mameli 32/34, Lido Di Jesolo",Veneto,it,,Open Database License,Via Mameli,https://www.openstreetmap.org/copyright
12.6965555,45.596846,0,,"P.Zza S.Giovanni Bosco 18, Ponte Crepaldo",Veneto,45.596846,12.6965555,"Ponte Crepaldo (Eraclea), VE, Italia",,,,"30020",,Eraclea,Venezia,VE,Veneto,VEN,Italia,it,"25.0",1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,"P.Zza S.Giovanni Bosco 18, Ponte Crepaldo",Veneto,it,,Open Database License,,https://www.openstreetmap.org/copyright
15.0912786,37.5122745,0,,"Via Aloi 12, Catania",Sicilia,37.5122745,15.0912786,"Via Aloi, 12, 95129 Catania CT, Italia","12",Via Aloi,Monserrato,"95129",Borgo-Sanzio,Catania,Catania,CT,Sicilia,SIC,Italia,it,"1.0",1,1,"1.0",© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,"Via Aloi 12, Catania",Sicilia,it,"1",Open Database License,,https://www.openstreetmap.org/copyright
14.641511,41.062564,0,,"Piazza Tagliatelle  7, Montesarchio",Campania,41.062564,14.641511,"Comune di Montesarchio (Montesarchio), BN, Italia",,,Comune di Montesarchio,,,Montesarchio,Benevento,BN,Campania,CAM,Italia,it,"5.0",1,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/,"Piazza Tagliatelle  7, Montesarchio",Campania,it,,CC0,,https://www.whosonfirst.org/docs/licenses/
15.552676,41.460194,0,,"Strada Statale 673 Km 21.400 Snc, Foggia",Puglia,41.460194,15.552676,"Comune di Foggia (Foggia), FG, Italia",,,Comune di Foggia,,,Foggia,Foggia,FG,Puglia,PUG,Italia,it,"25.0",1,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/,"Strada Statale 673 Km 21.400 Snc, Foggia",Puglia,it,,CC0,,https://www.whosonfirst.org/docs/licenses/
12.6435344,45.510467,0,Via Mameli,"Via Mameli 32/34, Jesolo Lido",Veneto,45.510467,12.6435344,"Via Mameli, 30016 Jesolo VE, Italia",,Via Mameli,,"30016",,Jesolo,Venezia,VE,Veneto,VEN,Italia,it,"0.0",1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,"Via Mameli 32/34, Jesolo Lido",Veneto,it,,Open Database License,Via Mameli,https://www.openstreetmap.org/copyright
17.662152,40.709155,0,,"Via Santa Sabina  181, Carovigno",Puglia,40.709155,17.662152,"Via Santa Sabina, 181, 72012 Carovigno BR, Italia","181",Via Santa Sabina,Comune di Carovigno,"72012",,Carovigno,Brindisi,BR,Puglia,PUG,Italia,it,"1.0",1,1,"1.0",© OpenAddresses contributors,BSD-3-Clause License,,"Via Santa Sabina  181, Carovigno",Puglia,it,"1",BSD-3-Clause License,,
12.51289,41.928632,0,,"Via Lucrino  17/A, Roma",Lazio,41.928632,12.51289,"Via Lucrino, 17, 00199 Roma RM, Italia","17",Via Lucrino,Roma,"00199",Trieste,Roma,Roma,RM,Lazio,LAZ,Italia,it,"95.0",1,1,"95.0",© OpenAddresses contributors,BSD-3-Clause License,,"Via Lucrino  17/A, Roma",Lazio,it,"95",BSD-3-Clause License,,
14.200493,37.798186,0,,"Via Nazionale  30, Gangi",Sicilia,37.798186,14.200493,"Via Nazionale, 30, 90024 Gangi PA, Italia","30",Via Nazionale,Comune di Gangi,"90024",,Gangi,Palermo,PA,Sicilia,SIC,Italia,it,"1.0",1,1,"1.0",© OpenAddresses contributors,BSD-3-Clause License,,"Via Nazionale  30, Gangi",Sicilia,it,"1",BSD-3-Clause License,,
14.15239,37.852846,0,,"Viale Del Parco Delle Madonie  14, Geraci Siculo",Sicilia,37.852846,14.15239,"Viale Parco delle Madonie, 14, 90010 Geraci Siculo PA, Italia","14",Viale Parco delle Madonie,,"90010",,Geraci Siculo,Palermo,PA,Sicilia,SIC,Italia,it,"45.0",1,9,"0.0",© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,"Viale Del Parco Delle Madonie  14, Geraci Siculo",Sicilia,it,"0",Open Database License,,https://www.openstreetmap.org/copyright
